company,industry sector,retained_earnings,revenue,ebit,current_assets,current_liabilities,total_assets,total_liabilities,working_capital,market_value_equity,latest credit rating (if applicable),sector,trade_credit,utility_pay,bank_tx,tax_compliance,digital_footprint,fcf_vol_ratio,cf_int_cov,revenue_quality,business_age_years,mgmt_track_record,industry_survival_rate,geo_risk,Country,Country Rating,X1,X2,X3,X4,X5,Z_raw,alt_adj,cf_adj,qual_adj,scale_pen,lev_pen,Z_adj,PD_model,PD_final,Rating
RETRO GREEN REVOLUTION LTD,Trading Companies & Distributors,-2256000,185279,-4958000,12455000,2671000,385903008,8179000,9784000,222288296.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.02535352095519297,-0.00584602854404286,-0.012847787908406249,10.0,0.00048011805080306605,2.9733527809143174,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,1.7263853664136413,0.0010401616063289757,0.02356807272284804,BB
CHANDNI MACHINES LTD,Trading Companies & Distributors,69939000,23777891,2761000,156552992,120504000,224772992,122560000,36049000,145234485.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.16037958866517202,0.31115393080677595,0.012283504238801075,1.1850072209530027,0.10578624588491485,0.8939475592270599,0.1200000000000001,0.4330325854993241,-0.8,0.0,-0.7,-0.05301985527361586,0.0010798423427726017,0.023585929054247674,BB
PENTOKEY ORGANY (INDIA) LTD,Trading Companies & Distributors,31846000,97744,-2165000,80487000,3285000,97857000,3285000,77202000,268719427.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7889266991630645,0.3254340517285427,-0.022124119889226114,10.0,0.0009988452537886916,3.718421656090009,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,2.471454241589334,0.0010235465704125579,0.023560595956685654,BB
GOYAL ALUMINIUMS LTD,Trading Companies & Distributors,80096000,9051966,19742000,171380000,20566000,244056000,21227000,150814000,1184682101.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6179483397253089,0.32818697348149606,0.08089127085586914,10.0,0.037089708919264434,4.015751024355066,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.768783609854391,0.000994616125500247,0.023547577256475112,BB
UMS HOLDINGS BERHAD,Trading Companies & Distributors,121243000,16153797,3946589,102251000,4771000,169736992,5840000,97480000,85449000.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Malaysia,A-,0.5743002680287865,0.7142992141630505,0.023251201482349822,10.0,0.09516957269986262,4.088308172092504,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.841340757591829,0.000992998101105702,0.0045000000000000005,A-
TURBO-MECH BHD,Trading Companies & Distributors,67846000,9244044,-602000,80396000,5815000,130218000,8329000,74581000,44280000.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Malaysia,A-,0.5727395598150793,0.5210185995791673,-0.0046230167872337155,5.316364509544964,0.07098898769755334,2.439407717144925,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,2.1924403026442487,0.0010297685812510331,0.0045000000000000005,A-
FILTRA CONSULTANTS &ENG LTD,Trading Companies & Distributors,241750000,10327766,42084000,329319008,124163000,371129984,129380000,205156000,657840000.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.552787456806508,0.6513890292410327,0.11339423332607909,5.084557118565466,0.02782789439076957,2.7458272210581787,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,2.498859806557503,0.0010229354263137677,0.023560320941841198,BB
P M TELELINKS LTD,Trading Companies & Distributors,-14431000,816158,132000,105084000,21106000,107425000,21106000,83978000,65286000.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7817360949499651,-0.1343355829648592,0.001228764254130789,3.0932436274045294,0.007597468000930882,1.5056897835902208,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,0.25872236908954505,0.001072890491169303,0.023582800721026188,BB
EURO LEDER FASHION LTD,"Textiles, Apparel & Luxury Goods",107023000,2177400,-3752000,243084992,185200000,403296992,257176000,57885000,91395649.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.14352946128593988,0.26537019150393265,-0.009303317590823985,0.3553817191339783,0.005398998859877438,0.33235956667278266,0.1200000000000001,0.4330325854993241,-0.8,-1.0,-0.7,-1.6146078478278931,0.002601234464235166,0.028670555508905828,BB
SHRI DINESH MILLS LTD,"Textiles, Apparel & Luxury Goods",1887556992,7870502,50994000,2214395904,517264992,2643929088,650585984,1697131008,1833630513.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6418973245926934,0.7139211866789674,0.019287204120354985,2.8184291670814723,0.0029768203828619477,1.7894660583250466,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,1.5424986438243706,0.0,0.027500000000000004,BB
